评论内容,观点词
"一直喜欢韦尔奇的书,这本闲时看看,不错的",不错
"孩子十分爱看,很好的一本书","孩子十分爱看,很好的一本书"
"到货很快,一天就到了。保温效果还可以,就是刚拍到脸上时有点粘稠。",还好
"这戏很有吸引力,故事真实,内容很悬.加上一批好演员,真的无限可击",好
"产品质量挺好,会向别人推荐",不错
"刀刀的笔记本,很不错哦~~",喜欢
送给姐姐的 姐姐很喜欢 包装很精美,好
超级期待.....,期待
"老师推荐的,但书比我想象的薄",还可以
一直喜欢看哈利波特 情节紧凑 而且还可以提高英语。~\(≧▽≦)/~,好看
"和旅游时香港专柜买来的一样,是正品。从大学起一直都用卓越,可能是我运气好从来没遇到过包装破损货物漏洒现象,相信卓越多年经营建立起来的信誉。关键是比专柜便宜!!","是正品,信赖卓越"
"对考试很有帮助,不过想要考好计算机二级,就得再另外买一本有相应操作题的习题书了。",官方教材
"内容我们都知道,没有什么突出是本一般的书",还可以
"神作再现,期待第三部!",神作啊
"给爸爸买的,还没用呢,不过在本地商场里看到同款的了要299呢,所以感觉便宜了好多啊!",不错
"帮姐姐家小孩子买的,,,",很不错
"虽然价格挺实惠,但设计得不是很好! 调节变焦没有我用的佳能方便(变焦环太小了!) 关闭了数码变焦仍然进行数码变焦(只是降到了光学+数码变焦共25X,而不是只到光学的12.5X) 没有调节场景的快捷键设置很麻烦",看在不足千元的价格上给4星吧!
"女儿说特别喜欢这本书,看完还列了学习计划。",女儿喜欢
产品和专柜买的有区别。,跟正品有区别
"小孩很喜欢,和同桌换着看",小孩子很喜欢
"收到后很开心,不论是包装还是因刷都很漂亮,绝对称的上经典。里面的内容更加赞,我是立体绣的初学者,这本书一看以为很难,但是仔细研读下来发现步骤很简单,自己尝试了一下发现以能绣个八九不离十,所以还是很庆幸被推荐了这本书,即使不看也绝对值得收藏。",很漂亮的书
"外壳没我想像中的那么满意,其它都很好。",还好还好
很好~讲的很基础~通俗易懂,很好
很专业系统 不过有些在国内不适用 毕竟天朝是天朝 美帝是美帝,很专业
"东西用了四天,还可以,3.6G,正常。 可是有一点,我明明写明了工作日送货的,却在周六吵着要我收货...谁能解释一下。","东西正常,物流不爽"
"外观沉稳时尚,做工精细,光线柔和,有重量",物有所值
我用了脸全过敏 很红 不知道能不能退!,敏感肌肤谨慎!!!!!!!!!1
"虽说单核的很慢,内存也小,但是不玩游戏只上QQ微信还是完全能满足使用要求的 主要是是480的价格也说的过去",用了一个月感觉还好
"东西很快到了,但是打开失望发现没有网线,不知道厂家怎么想的,一根网线没几个钱,但是出去买很费神!",网线...
"服务很方便,信誉很好!","服务很方便,信誉很好!"
"一直干剃须,剃的也比较干净,电力也很耐用。","很舒服,干剃很舒服。"
"机器还好吧。换过一次。第一次是座机有划痕,很快就换了一个,结果无线子机上有轻微划痕,勉强接收吧。卓越的服务真的很不错,快递速度也很给力。就是最好在商品上把一下关就好了。电话机可以留言,但是留言的提示音太难听了。",还好吧
"我是在大润发买的250ml 20块钱,薄荷味感觉特别浓,刚用了两次觉得有点刺激,漱完口舌头都有点麻了,用几次可能就习惯点吧,下次打算买个口味清淡些的。。",刚用觉得有点刺激
"质量不怎么样,中间有个破损页,幸亏发现了 还得找客服,真是麻烦",有破页
是一本指导现代育儿的经典之作!能避免很多无知的爱!,儿童的福星
"比预计日期早一天收到书,非常惊喜!只是封面有些许划痕,因为想收藏,觉得有些遗憾,但整体还是挺好!",第一次在卓越买书
"字比较紧密,价格也高了点,比中国的书32开排版小,感觉不舒服.很薄的.",有点不开心
"筛选条件是3岁以下,但商品明明标示不适合6岁以下",又被骗了
老外骗钱!!没用处的  东西,实话实说
用了还可以哪。。。不错,好
"用了两个,感觉很不错,密封性很好,也挺厚实的样子,推荐。",很好
"简单实用,发货速度也比较快",路由器
"德生PL-600收音机,我买过两台,都不怎么满意。一是体积过大,较为笨重。音色还不如德生9700dx,短波灵敏度也好不了多少,因此我不怎么喜欢。",评 德生PL-600高性能全波段数字调谐立体声收音机
"现在的东西也太假了,说是16G,但连12G的3D电影都装不下",根本没有16G
"自己拍,专业拍,不必经常背单反了,简单家用足够了,照片超级清晰",超级商品
需要的就是最好的~~~~,需要的就是最好的
"书很小巧,适合随身携带记忆, 整体感觉不错~","21天,不错~"
"内容一般,知识含量过低",太一般
"形式是好的,但是内容过于太少,且过于抽象,对于1-3的宝宝而言未必太适合。",SO SO
买的时候说送什么礼包啊什么的..拿到手的礼品就一个书签....请你们解释下...,很不爽....
"声音不错,低音比PX80有力,当然比五六百以上的大耳罩低音弹性少差,头梁弹性大夹头,带久了耳朵疼,但可以捏住两边接头处反向掰,当然要小心,虽有弹性,但毁了后果自负",很不错
"买过DK的《鲸与海豚》,觉得不错又买了《恐龙与史前生命》,到手发觉内容不多又翻译得欠佳,对于稍想深入了解的读者意义不大,图片也不够精美,不值得专业收藏;一般的读者仅供参考。",专业里的非专业
"宝贝送人了,朋友夸好用。我认为超值,实体店和超市要贵许多哦。",格兰仕微波炉
"彩色小本,操作方便,图文并茂,简单易学,准备好好学起来,让家人更健康",彩色小本
"看过电影,书也超爱的,就是没有插图。",超爱
"我一高中生没读下去。也就是一般的励志书,没什么特别的。好失望。",适合大学生读
"总体说来还不错,很详细",引力量子
呵呵 女儿喜欢。还有继续关注后续的书,少儿少女的喜爱
"新版图书真的不错哦,内容新颖,条理,清晰,很适合学习用。",《马克思主义基本原理概论》
"朱元璋传讲述了朱元璋一生的经历,流落街头的乞丐,农民军的首领,开国皇帝,奋斗历程是一本非常好的历史励志,从他的身上更能找着自己的影子,并找寻到奋斗的方向。而且这个版本图文结合,阅读起来很有重现历史的感觉,很真实。而且文字非常风趣。我买了。赶紧去告诉我的朋友们,让他们也买来看看,希望我们都走出迷茫。",非常好的历史励志
"是一套可爱的书童书,能让孩子认识大自然中的动物生活常识。书质量很好,照片也好,寓教于乐。",很可爱的小书
"很漂亮,很喜欢,还在功能开发中","挺好,挺好看"
"很适合我用,答案很详细",点评四级真题
"刚买了,可降价了,用了一次,感觉还行,。。",用了一次
"里面塑料件的塑料味好大,洗、泡、打开盖子放,搞了一个多礼拜还是一样,比哈尔斯的差远了。",味道好大
"很好的书!內容好,畫面精緻,情節感人!愛它!愛寂地和阿梗!",好书
"用起来,好将就,优点双卡双模双核双待。缺点:反映优点慢,电池用得快。不过这个价位的我觉得还是可以了。",还是比骄合适
"书的质量很好,内容还没怎么看,不过总体来说还不错",总体来说不错
"我就已经感动的几乎热泪盈眶。我是预售的啊!!! 半个多月才发出,这个过程我辗转反侧,望穿秋水",只是收到信息说已从库房发出
"我觉得挺不错的,实用",不错
"很好用的小铅笔刀,物美价廉,很好",很好用的削铅笔刀
"很好的,轻巧,携带方便。也比较简单,能看懂。经典的作品,经典的版本。",非常好
质量好 内容丰富 希望宝宝越听越聪明~,质量好内容丰富
"和想像差不多,手感还可以。","不错,不错。"
"不错,一本值得品味的书",不错
很适合0基础的同学学习吉他哦!~,吉他
挺喜欢里面的这些老歌!,喜欢老歌
"电池很不错,绝对正品。物美价廉","东西不错,正品"
"一本非常适合现在青年人读的书,能激发青年人的责任感和使命感,推荐。",平凡的世界不平凡
"儿子和同学分享着看的, 不错!",值得拥有
"本来以为是类似答疑推理类的作者官方解疑,谁知道是东拼西凑的一些垃圾鬼故事,莫名其妙的。。。很令人失望。。比较差劲的一本书~","很不怎么样的一本书,后悔中。。。"
"买给老妈手机里用的,稳定没问题。。。",大牌、稳定
"画面制作精美,我儿子很喜欢!",内容不错
"帮朋友买的,具体不知道","帮朋友买的,具体不知道"
啊啊啊啊啊啊啊啊 用了好幾天了 感覺有點坑了 信號無故斷掉 還有無故黑頻又啟動不了(也沒有很多人說的那麼差勁的啦=。=電池什麼的看視頻可是看很久額、運行速度也蠻不錯的 因為剛用了兩天還沒有什麼特別大的問題、不知道一個月之後會不會壞了==)),其實還好額
"是测试卷,但是做成了书本的样子,以前用过的测试卷很容易散,这个方便多了。 两棵一小考,四课一大练,很好。 题型规划也很合理,还有五十音图的测试,很适合自学的测试和没有基础的同学用。 有单词测试,比如汉字写平假名,平假名写出对应的汉字,而且都是放在句子中进行训练的,很好用。 然后是语法的题目,主要是连接词的使用,有三大题,类似完形填空的和选择题的。然后是日汉互译。 我是考研的,日语二外,这个简直就是我的救星啊!!不过没有听力,所以要是想考日语的童鞋还要去找一本带听力练习的才行。","考研日语二外,非常好用"
当天下单 第二天就到了 卓越还是很靠谱的~~ 书的质量一般 内容上来说 个人觉得更适合入行的我们等菜鸟作为指导来看 很多东西都是很有指导意义的 理论性原则性比较强 技巧等方面的东西就需要自己另外的补充和积累了 总而言之 推荐,推荐
"给人耳目一新的感觉,说的具体,有生活指导意义",真的值得一读
"在播放第四首《假行僧》到50秒左右会卡碟,一直会卡到2分钟的播放时间!原以为是MINI音响的问题,后用蓝光DVD播放卡碟后,直接就跳到下一曲了(看来我的音响的纠错比蓝光要好)!碟片表面没有任何的损伤!以为是碟片问题,后经换货!问题依然存在!看来是碟片制作时候的问题!这是一张精选,要不要买自己决定吧!我也不退了(有这种收藏也挺特别的)!",CD存在瑕疵!
"这次进货真是快啊。只是因为我等不及,已在其他地方买了。 不过,确实是一本好书,想学的朋友买了绝对不会后悔的,连序论部分都写得很有价值。 好多书,包括很多教材,我是根本不会去看序论的。",好书啊
"内容很丰富,还可以啊",还可以
不错 不过没有5500个词汇 就两千多一点 其他的都是高中词汇 省略了,不错
"原本看了其他评论很担心,怕有破损或纸质不好什么的,收到货以后觉得不错,也没有破损,纸质和装订都是我喜欢的,关键是有光盘的。总之不错",有光盘的。纸质不错
书很好  插图还好 内容不错,喜欢
很好!!很精美 明信片也好看啦,超喜欢!!
"以为这本书内容有深度,没想到打开看一页就不几个字,说的东西也很浅,对不起这个价钱,内容质和量跟5块钱的期刊差不多",简直是骗钱
本人也是懒人一个.. 但挺喜欢吃的..这本书正好,哈哈 好书
"朋友推荐,发货速度很快!内容自不必说……",售后不错!
"还行,就是声音大了点","还行,就是声音太大了"
"该卡正在使用中,速度稍慢,可能是C4的缘故,很好",使用中
"年前买的,现在快没有了,用了效果也不错,准备再继续使用。",很好
小野田博一的书我看第三本了 的确不错哦!,偶喜欢
"精华版的不错,浓缩的都是精华吗,内容很全面也很实用。",精华
"用了这么久,操作很顺手,很喜欢,等他家的全幅",喜欢
"外行看热闹,内行看门道。  没有临床经验的家族成员天天到处瞎说八道。",没有临床经验的家族成员天天瞎说
不错。了解题型有帮助,好
"第一张光盘根本放不了,第二张的内容还没开始学,书本也有问题,钢琴老师说排版有问题,因为指法的数字不应该写进五线内。",第一张光盘根本放不了
"今天收到了,是飞烟签名的,知识由于签名破包了,书有点脏了~~~",签名版的呃~
"机身很沉,但小巧,风力和温度都很到位,价格也不贵,希望可以很耐用",好用
"不一定正确,但值得一看!!",值得一看
"100个故事,没一个有好结局,所以才叫有一种爱叫放手.",悲剧
"实验很系统、完整,从建账初始化参数设置,到购销存业务处理和财务处理,到凭证自动生成,到现金流量表、损益表、资产负债表编制,会计实务一套完整的资料。",一套完整的会计实务资料
"速度快,质量好,干净",质量好
"用起来很好,声音很小","用起来很好,声音很小"
"微软瞎说 电池能用连续使用10个月 通过我的亲身体验别的方面非常好 电池特别不耐用 如果不关闭鼠标 最多能用10天,绝对不会达到十个月,也不知道微软是怎么检测的,建议大家买罗技鼠标",微软胡说八道 电池能用10个月 能用一个月就不错了
"先是在图书馆看到这本书,奔着钱老的力荐去的,果然不凡!",好书
实用性和可操作性都很强。爱不释手。应该永远放在手边的书。,难得的好书
"英文版的看了一半,实在有点吃力,想在joyo找译文,怎么没有黄锦炎的译文",为什么不进译文版
"内容很不错,有感触。",很好
对了解国内的金融市场很有帮助。,很实用
"给孩子买的,孩子很喜欢,而且质量很好",喜欢
"这本书是在我看了一篇书评之后决定买下来的,应该值得一看",应该值得一看
"看不懂厚黑学的人伤不起呀,已经束之高阁啦,哎",看不懂呀
包装很好而且这本内容超好看,好
"感觉很棒。特别是物流,还有具体的也不能说的很清楚,因为还没有使用过。",第一次亚马逊
纸质的书还是很不错的,不错
将旅行、生活与设计枯燥的专业书结合绝妙的读本。不错!,设计人员非正常的专业读本!
"价格实惠,好用,下次继续支持。",感觉不错
"发货很快,而且是我喜欢的乐扣,公司的同事看了也都说很好,还要再买一套!",乐扣的七件套
"香味有点刺鼻,好像并不是我想要的","香味有点刺鼻,好像并不是我想要的"
"试了一下,还不错,不过只能干用,有点笑痛,可以忍受",还不错
"印刷,排版,注释都很好,遗憾的是附送的cd不支持mp3格式,只能在电脑上播放",挺好
"作为一本随身的小册子,里面涵盖的内容也是相当丰富的,推荐给刚工作的朋友们,(*^__^*)",实用且方便
就是冲着这本书来的。一定要买下,喜欢
"给母上买的,但是她不喜欢这种小的,虽然我个人觉得还可以,没有盖子,可以栓绳子……反正母上不喜欢,我就自己留着用了,总的来说还是满意的。",给母上买的。
"有十几页都是空白的,已办理退货,一个月了,还没有消息",印刷装订不好
"图画很漂亮,拿回家小孩就要求讲给他听。",不错
为了回忆买的  可惜现实永远不是童话,不错
"商品不错。寄送也很快。之前看别人评论说这版用纸和裁剪不是很好,拿到书后,果然如此。不过,无所谓了,我买来是收藏用的。","商品很好,寄送也快"
"给五星,也说几句: 后来朋友告诉我,此类存储卡如果速度快,就更脆弱,更容易坏。 不建议买16g,建议4g的多买几个,觉得有道理。 另:亚马逊第一用,可能还不清楚客服如何联系,如何咨询,算自己愚钝,和卖家无关吧。","再用,目前还好"
"书好小巧,想起大学的六级单词本了。。",小巧
"必须说的是正品行货这个价格的确是便宜,而且还带正规发票,而且质量很好,唯一美中不足的就是缺了个原装皮套,哈哈,总的来说就是很好很给力~~~",Very good~!~
阿狸还是一如既往的可爱  故事也是相当的温暖,支持阿狸!!
"也许文风不太对我的路子,我觉得一般。初恋萌事...?不太相衬。书可以看得很快,其实没花多久就看完,但是总会觉得少了点心动的感觉,轻松和温暖什么的也觉得真的一般。有时会觉得文章的衔接有点生硬,也许仅是个人观点。但是装帧很好,封面很美。无聊消遣,打发时间,只想看个稍长的小故事,也还算可以。",平白的小故事。
"亚马逊真的非常棒,我很满意",非常满意
"主要是这个版本不行啊,花费我金钱。其实其它版本的话,我是喜欢这本书的。",不好
书籍质量没问题 是新书  两天送到,很好 很新
"书的内容不错,就是装帧版式一般。",值得一读
"每个人都有着几重身份,悠子把自己的身份从老师转向母亲,这也是她辞职的原因。她与深爱的人无法结婚,是为了女儿。她一直未婚也是为了这个女儿。女儿是她爱的支柱,甚至人生的支柱。这个支柱的倒塌也就是她人生的倒塌……",可怜
"抱着很大的期望等了半个多月,到最后却没有收到想要的书,第一次到亚马逊购物就遇到这种情况,对此感到非常失望",对亚马逊很失望
全套都买了~~不错,泡沫
"如果我在读研究生期间看过这样的书,看文献就不会有那么辛苦了!体会很多,值得拥有!",真本书真心的很好~~
让我懂得怎样成为一个更好的女人,收益
"在微博上知道有这么个人物,言辞犀利,颇为不羁,所以决定买本书看个究竟。粗粗翻了一下,应该是一本看了让人激动的书,很有想跟他一辩高下的冲动。",文字狂人
"终于全部看完了,当时还做笔记了。","大学时图书馆里看的书,很喜欢"
"设置简单,价格便宜,信号枪。安装在5楼北面房间,4楼南面房间信号依然不错。",信号可以
"挺好的,物美价廉,通话声音很清楚",很不错的DD
"东西还行,大品牌值得信赖,中规中矩,就是可以以后都买不到V2版的了,V3减配啊,。还有买了不到5天,又降价了,513买的,5天后果断489元了。郁闷降价降的好快。有种坑爹的感觉。亚马逊的快递和服务还不错,值得欣慰。","东西还算可以,可惜买不到V2版。"
还可以...适合新手,还行
"正版,可以,价格优惠","正版,可以"
"呵呵,所谓的什么见好就收之类的套话也许只是碍于面子吧,真的,彭导还是不擅长这个领域,见好就收,是明智之举~","一般,彭导还是回去拍电影比较适宜~"
很不错~!正在学习!,比较不错!
"书很好,绝对支持亚马逊",中央导管相关血流感染预防与控制最佳实践/医院感染预防与控制最佳实践丛书
书很好 很有用处 购买的很值,书评
"这是一本很多年前出版的书。我本来想买另一本,新近出版,补充了一些最近的研究,但太贵。这本作为教材看看还不错,总觉得有点枯燥。20+人民币的价格还不错。",价廉物美
"物有所值,用起来还不错 恩",美中不足的是线有点短
"比较价格后购买~这个牌子的东西还可以,洗的比较干净吧,无味道",长期使用的牌子
"味道很喜欢,洗完不是滑滑的~·",还不错
"这是我第二次在这里买这个洗面乳了,但是这次的有点失望,里面有一股橘子皮的味道,我一直以为是自己闻错了。直到最近越来越明显才知道这不是正品来的。本来是不想评论的,但是我觉得不说出来心里很不舒服。",不是正品
"还好,孩子爱看,书的质量还行","还好,孩子爱看"
"不知孩子有没有耐心读完,应该适合大些的孩子吧",阅读量很大
"我第一次网上买书《时尚的谎言与魅惑 》,让我欣喜的是书按时送达,遗憾的是就是书旧了点","是我要的数,就是书旧了点"
书虫的确是很好的一套书,书虫的确是很好的一套书
"女儿很喜欢,质量也很好。",评价
"还好,挺不错的,很实用",好
"很多,现在还没用完,味道也还好。",很好
"读书从来都是读平装本,智慧都在书里自不用多说。这个版本从印刷纸张包装我都很满意,价格也相当实惠。尤其是内附地图,那些古老的地名 方位也更了然于心了",太太太太满意了!
宝贝质量不错  若有电子版就更好了!,大环化学
"用惯ios和androiid后用WINDOWS PHONE就很别扭,有一个适应过程。 我买来是送给老妈用的,把字体开最大,把老人用不上的功能都隐藏,整个世界都清爽了!妥妥的老人机啊!",性价比高的Windows phone
"外观不错,手感也很舒服,就是没有320G",只有298GB
"不用说,一直很喜欢他的画风。自从第一次在法国Fnac书店买到第一本,就很喜欢这个风格。",一直很喜欢他的风格
"对幼儿的父母,有参考价值。从孩子会讲话开始,就开始培养提问的好习惯。",有参考价值
"很早就想看这本书,但是因为各种原因现在才买,读着很顺的一本书,也是一本很不一样的书,还没有看完!书的很OK和书店的一样没有任何质量问题,价廉物美!",不能承受生命之轻
"本来想评三颗星的,看上面这么多托,还这封面设计很好? 翻了几节,一般般吧,从内容看就三颗星的价值。也许作者是个设计大牛,但是文笔不好说了···本书是不是商业化产物也不好说····",这里有很多托啊
"正品,一切都好。快递给力。卓越就是卓越。以后就在这里买了。",一切都好。很满意
"除了书的外皮左上角破损,书本身的质量和内容都是不错的。",内容不错
"适合对瓷器已经有些了解的人读取。里面的内容全是图卡,每个图卡下面会写上它市场估价和几句瓷片特点。但没有教学内容~所以比较适合已经初步了解瓷器者为之丰富明代图案用 因为我是入门选手~所以~看起来没起到太大的作用~",凑合
我看了好多不好的评论但是我拿到货这东西真的很好很给力不解释废话不多说直接五分,很好
"不错,空间大师的东西质量确实不错! 价格方面也公道! 已经买了N回了,不给爸爸妈妈也买了两个,现在家里已经有五六个大小不同的空间大师了",很好!
"今天才收到此书,就看啦一大半了,感觉写得很简短,并不像描述的那样好,至少我觉得其实就是在做一个语录记录一样,没有太深刻。。。。主要是我已经结婚了,但是个人觉得比较适合没有结婚的朋友看!",我觉得比较适合没有结婚的朋友!
"29块还免运费~买来做win7的系统安装盘,实用~",U盘白菜价啦~
"包装很好,速度很快...",关于厚黑学精装
心学之主。心学之典。国学经典。回味悠长。,一生唯拜王阳明。
"内容不错,我儿子25个月,很喜欢我给他讲",孩子挺喜欢
"价格便宜,性价比高,字体印刷都不错",很不错哦
老师让买的……所以我也不得不买了……,老师让买的……
"是为了写论文买的,收获不是很大",是为了写论文买的
垃圾  比我笔记本内置的像素还差  还说800w,大家别买
"书中的内容比较丰富,有实用的东西,就是法律条文的篇幅比较多,今后有关法律条文希望只写与之相关的条文最好,越少越好,出钱是小事,就是携带不方便!",好评
对初学者而言够用了 还不错,蛮实用的
可以让小朋友们多多了解一些相关的事情~丰富他们的人生……,帮朋友孩子买的……很不错~
"刚开始打孔的时候,觉得真皮的部分好像太薄了,怕不经用。但几个月的体验后,感觉还是很满意的。没有当初以为的那么脆弱。总之对得起这个价格。",对得起这个价格吧
"早期的制作,画面比较模糊。情节还行。",经典之作
"口语示例是有正反两个观点的,很全面、也挺地道的。",兴奋
"很大一瓶,感觉家庭护理系列和精华护理系列在效果上没啥区别,价格还更实惠。 这款比较清香,洗完头发会有一点涩涩的,但也算证明了去油效果确实厉害。",去油效果很赞
"很不错的一本书!没有任何注释的佛经,我很喜欢!",南无阿弥陀佛
"质量很好,但是字比较小",还不错
中文版啥时候发行啊?,中文版啥时候发行啊?
"基本上都认识了,还不错",正合适
"书的内容及装订都很好,值得推荐",很好的书
"是弟弟的老师推荐的,应该还不错嘛!",还好啊
"到货很快,光盘质量很好,音色很美,就是太贵,若便宜些会买更多。",喜欢
"灰常喜欢这本书哦!!! 而且确实有台历,但是我没看到签名。",大爱啊!!
"Nikon D3200 + Tamron AF 70-300  摄影初学者的好工具。商品不错,非常满意。送货及时,包装完好。谢谢!",尝试组合
一直都很喜欢青年文摘里面的文章 这本书收集的文章都很好看,很好
"挺适合刚接触三国的人读一下,字体大小合适看起来也很舒服,之前看名家汇评本,每个人点评的都是截取其中一部分,还是比较习惯这样",值得购买
"书总体来说能用,因为中国的教育就这个水平",一般
反正比书店便宜 妈妈要的,还行吧
"里面纸张有破损,纸质极差且偏黄,封面还有破损,有点失望。",失望
"哈,此哈非彼哈,哈到好处、哈到痛处,上世纪了解日本社会现状看周树人,现在的看点李长生——好!",哈日本
"效果还是不错的,就是味道太重了。",味道太重了
"每个小节的标题都很吸引人,但具体内容我记得讲述的不是特别详细,尤其是我们不懂穴位的人,只画了图,没有说明,我们是很难找到具体位置的。",没有想像中的那么好
"货到了,可是让人很气愤!首先书是旧书,很旧很旧像是90年代那种压了几十年卖不出去的老书,纸页发黄发霉。 而且很脏,黄泥、灰尘沾满了封面!拿起来像拿卫生纸! 卓越,你这种书都敢卖给客户,你以为就你一家有书卖是吗? 而且书是节选不是全部,在简介那又不说清楚!! 再有下次就不在你这买东西了,转投当当和京东!",卓越就是垃圾
"有点凑数的味道了,很一般,没有收藏的意义",一般
"有两袋,每袋20支,我当时看错了,幸好买了两袋,否则又多了。很实惠,好",很好
"好大的家伙,就是现在物价上涨,水果也不是一般的贵。可怜的榨汁机,睡觉去了",好大的家伙
"没那水平鉴定内容的好差,那么高级别的单位编的,怎么也差不了,我只能看书的“硬件”挺好,是正版。",按老师的要求买的。
"小巧的外观很是喜欢,录音也很清晰,很适合会议时携带","小巧的外观,使用起来很方便,值了"
"这本书里的内容是对黄帝内经比较大纲式的解读,对想入门的我来说比较有帮助,感觉比某些不寻根本,只靠秘方的国学健康书要好得多。内容上还有有很多不清晰的地方,特别是对脏腑对应的方位和卦象的定位上,跟弈加芹书中的内容比较起来有出入。",大纲式的解读
"儿童经典图书,孩子很喜欢",女儿喜欢
"书写的不错,在看,蛮好",还行
"很多人评价,看OP就是他们怎么也不死。呵呵禁得住打",一开始就是皮实
"就是因为这本书的封面很漂亮,而且价格很便宜,我帮同学买了两本。但是纸张有点薄,都有点怕了翻。",书的包装不错
如果出版社能印刷的更好一点就完美了,书是好书
"这本是正版,从藤的博上看到的 呵呵 果然就是这本阿 终于等到了 不过为什么藤其他的书在卓越都不进货了呢",就是这本了
"书很好,很喜欢,希望会有帮助",评论
"有些人说这本书一般,如果你认真学习,将内容看完 相信绝对会敬佩作者耐心细致讲解清楚摄影技法的景深,总之我觉得很好,很受用。","好书,非常优秀,关键是实在交,而不是画册!"
"运输把桌面磕坏了,产品表面容易开裂,质量不好","质量不好,表皮已经裂了。"
"我本以为我在卓越买过这么多的书,卓越挺负责的。没想到我错了,太让我失望了,当我取出货物时,磨损的很难看,磨损就算了,他还是别人看过的,折叠的痕迹很刺我的眼睛。",我错了
"给老婆买的,专柜买的用完了,这个对比一下,应该是正品,比柜台便宜!","应该是正品,比柜台便宜"
"有400多页,但真的很轻。我去美国的时候,去过书店。他们的书都是这么轻的,因为是再生纸,很环保的O(∩_∩)O~~ 排版也很合适,字体页很好看,封面也很有feel~英文也不是很难啦,就算不想看,放在桌上也很装B  。嘿嘿~~超喜欢哦!!是绝对的正版哦~~~",绝对的正版!
"包装和印刷都很赞。分册的,携带很方便。",很好的书
"收到书时看了,是新的,但是对内容有点失望,例句太多了,语法不全。感觉没什么用,有点想换货",有点失望
